332	117
333	119
334	113
335	118
336	114
337	129
338	125
339	123
340	130
341	124
342	116
343	121
344	120
345	122
346	115
347	126
348	131
349	127
350	132
351	128
352	104
353	101
354	106
355	103
356	102
357	100
358	99
359	97
360	98
361	95
362	93
363	96
364	109
365	108
366	107
367	94
368	110
369	105
370	112
371	111
372	34
373	22
374	31
375	28
376	26
377	32
378	20
379	19
380	16
381	14
382	15
383	5
384	85
385	88
386	91
388	3
388	89
389	11
390	9
391	83
392	8
393	84
394	78
395	65
396	66
397	68
398	74
399	77
400	62
401	72
402	60
403	80
404	61
405	38
406	43
407	37
408	54
409	55
410	51
411	57
412	49
413	39
414	42
415	45
416	75
417	64
418	76
419	71
420	59
421	79
422	81
423	69
424	67
425	73
426	63
427	70
428	50
429	47
430	46
431	41
432	82
433	7
434	1
435	90
436	87
437	6
438	12
439	2
440	4
441	10
442	86
443	92
444	53
445	36
446	58
447	48
448	23
449	25
450	33
451	27
452	30
453	18
453	24
455	29
456	17
457	21
458	13
459	35
460	52
461	40
462	44
463	56
